5/7/2021 9:09:06 AM,Domain Networks

Enterprise Geodatabase,file:///C:/Users/mike/AppData/Local/Temp/ArcGISProTemp56640/cb2ab6ec990ede1a3d3c83d65b4c1634.sde
Utility Network Name,meh.unadmin.ElectricUN
Utility Network Release,3
ArcGIS Pro Version,2.7.0.0

DomainNetworkID,DomainName,TierRank,Tier,TierGroup,TopologyType,SupportDisjointSubnetworks,UpdateSubnetworkContainers,UpdateSubnetworkStructures
1,Structure,,,,,,,
2,Electric,,,,,,,
,,1,Electric Generation Station,,Mesh,True,,
,,2,Electric Transmission,,Mesh,True,,
,,3,Electric Sub Transmission,,Mesh,True,,
,,4,Electric Distribution Substation,,Radial,True,,
,,5,Electric Distribution,,Radial,False,,
,,5,Electric Distribution Mesh,,Mesh,True,,
,,6,Electric Secondary Mesh,,Mesh,True,,
,,6,Electric Secondary Radial,,Radial,False,,
,,,,,,,,
,,,,,,,,
TierRank,TierName,Property,Descriptor,Value
1,Electric Generation Station,,,
,Electric Generation Station,Trace Configuration,Property,Value
,Electric Generation Station,,Condition Barriers,'E:Device Status' = 1 OR 'Lifecycle Status' DoesNotIncludeAny 24 OR 'Category' = E:Ground
,Electric Generation Station,,Apply Traversibiilty To,JunctionsAndEdges
,Electric Generation Station,,Propagators,
,Electric Generation Station,,Summaries,
,Electric Generation Station,,,Add('Power Rating') 'Category' = E:Generation totalgenerationkw
,Electric Generation Station,,,
,Electric Generation Station,Valid Subnetwork Controllers - 11,Asset Group,Asset Type
,Electric Generation Station,,High Voltage Generation,Biomass
,Electric Generation Station,,High Voltage Generation,Coal
,Electric Generation Station,,High Voltage Generation,Gas Turbine
,Electric Generation Station,,High Voltage Generation,Geothermal
,Electric Generation Station,,High Voltage Generation,Hydro
,Electric Generation Station,,High Voltage Generation,Nuclear
,Electric Generation Station,,High Voltage Generation,Photovoltaic Solar
,Electric Generation Station,,High Voltage Generation,Thermal Solar
,Electric Generation Station,,High Voltage Generation,Wind
,Electric Generation Station,,High Voltage Transformer,AC Three Phase Power
,Electric Generation Station,,High Voltage Transformer,DC Power
,Electric Generation Station,,,
,Electric Generation Station,Valid Devices - 50,Asset Group,Asset Type
,Electric Generation Station,,Medium Voltage Arrester,MV Station Arrester
,Electric Generation Station,,Ground,Bound
,Electric Generation Station,,Ground,Rod
,Electric Generation Station,,Ground,Voltage Grid
