5/7/2021 9:09:09 AM,Network Rules

Enterprise Geodatabase,file:///C:/Users/mike/AppData/Local/Temp/ArcGISProTemp56640/cb2ab6ec990ede1a3d3c83d65b4c1634.sde
Utility Network Name,meh.unadmin.ElectricUN
Utility Network Release,3
ArcGIS Pro Version,2.7.0.0

RuleCode,RuleType,Count
1,JunctionJunctionConnectivity,3463
2,Containment,1923
3,Attachment,230
4,JunctionEdgeConnectivity,486
5,EdgeJunctionEdgeConnectivity,24
,,6126
,,
RuleID,RuleType,FromClassName,FromAssetGroupCode,FromAssetGroup,FromAssetTypeCode,FromAssetType,FromTerminal,ToClassName,ToAssetGroupCode,ToAssetGroup,ToAssetTypeCode,ToAssetType,ToTerminal,ViaClassName,ViaAssetGroupCode,ViaAssetGroup,ViaAssetTypeCode,ViaAssetType,ViaTerminal
6111,Attachment,meh.unadmin.StructureJunction,106,Electric Pad,201,Pad,,meh.unadmin.ElectricJunction,7,Medium Voltage Attachment,61,Underground,,,,,,,
6092,Attachment,meh.unadmin.StructureJunction,106,Electric Pad,201,Pad,,meh.unadmin.ElectricAssembly,14,Medium Voltage Fuse Bank,223,Pad Mounted Disconnect,,,,,,,
6093,Attachment,meh.unadmin.StructureJunction,106,Electric Pad,201,Pad,,meh.unadmin.ElectricAssembly,15,Medium Voltage Power Factor Correcting Bank,244,Pad Mounted Capacitor,,,,,,,
6094,Attachment,meh.unadmin.StructureJunction,106,Electric Pad,201,Pad,,meh.unadmin.ElectricAssembly,17,Medium Voltage Service Bank,281,PM Commercial Customer,,,,,,,
6095,Attachment,meh.unadmin.StructureJunction,106,Electric Pad,201,Pad,,meh.unadmin.ElectricAssembly,17,Medium Voltage Service Bank,282,PM Industrial Customer,,,,,,,
6096,Attachment,meh.unadmin.StructureJunction,106,Electric Pad,201,Pad,,meh.unadmin.ElectricAssembly,17,Medium Voltage Service Bank,283,Primary Meter,,,,,,,
6097,Attachment,meh.unadmin.StructureJunction,106,Electric Pad,201,Pad,,meh.unadmin.ElectricAssembly,18,Medium Voltage Switch Bank,307,Pad Mounted Recloser,,,,,,,
6098,Attachment,meh.unadmin.StructureJunction,106,Electric Pad,201,Pad,,meh.unadmin.ElectricAssembly,18,Medium Voltage Switch Bank,308,Pad Mounted Sectionalizer,,,,,,,
6099,Attachment,meh.unadmin.StructureJunction,106,Electric Pad,201,Pad,,meh.unadmin.ElectricAssembly,18,Medium Voltage Switch Bank,309,Pad Mounted Switch,,,,,,,
6100,Attachment,meh.unadmin.StructureJunction,106,Electric Pad,201,Pad,,meh.unadmin.ElectricAssembly,19,Medium Voltage Transformer Bank,333,Pad Mounted Single Phase,,,,,,,
6105,Attachment,meh.unadmin.StructureJunction,106,Electric Pad,201,Pad,,meh.unadmin.ElectricAssembly,19,Medium Voltage Transformer Bank,334,Pad Mounted Three Phase,,,,,,,
6106,Attachment,meh.unadmin.StructureJunction,106,Electric Pad,201,Pad,,meh.unadmin.ElectricAssembly,19,Medium Voltage Transformer Bank,335,Pad Mounted Three Phase Delta,,,,,,,
6108,Attachment,meh.unadmin.StructureJunction,106,Electric Pad,201,Pad,,meh.unadmin.ElectricAssembly,19,Medium Voltage Transformer Bank,336,Pad Mounted Three Phase Wye,,,,,,,
6101,Attachment,meh.unadmin.StructureJunction,106,Electric Pad,201,Pad,,meh.unadmin.ElectricAssembly,19,Medium Voltage Transformer Bank,337,Pad Mounted Step Single Phase,,,,,,,
6102,Attachment,meh.unadmin.StructureJunction,106,Electric Pad,201,Pad,,meh.unadmin.ElectricAssembly,19,Medium Voltage Transformer Bank,338,Pad Mounted Step Three Phase,,,,,,,
6103,Attachment,meh.unadmin.StructureJunction,106,Electric Pad,201,Pad,,meh.unadmin.ElectricAssembly,19,Medium Voltage Transformer Bank,339,Pad Mounted Step Three Phase Delta,,,,,,,
6104,Attachment,meh.unadmin.StructureJunction,106,Electric Pad,201,Pad,,meh.unadmin.ElectricAssembly,19,Medium Voltage Transformer Bank,340,Pad Mounted Step Three Phase Wye,,,,,,,
6107,Attachment,meh.unadmin.StructureJunction,106,Electric Pad,201,Pad,,meh.unadmin.ElectricAssembly,19,Medium Voltage Transformer Bank,342,Pad Mounted Three Phase Open Wye,,,,,,,
