5/7/2021 9:09,Fields,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Enterprise Geodatabase,file:///C:/Users/mike/AppData/Local/Temp/ArcGISProTemp56640/cb2ab6ec990ede1a3d3c83d65b4c1634.sde,,,,,,,,,,,,,,,,
Utility Network Name,meh.unadmin.ElectricUN,,,,,,,,,,,,,,,,
Utility Network Release,3,,,,,,,,,,,,,,,,
ArcGIS Pro Version,2.7.0.0,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
ClassName,SubtypeCode,Subtype,Pos,FieldName,Alias,FieldType,FieldLength,Precision,Scale,IsNullable,IsRequired,IsEditable,IsDomainFixed,Domain,DefaultCode,DefaultValue,Range
meh.unadmin.ElectricAssembly,0,Unknown,1,objectid,Object ID,OID,,10,0,FALSE,TRUE,FALSE,FALSE,,,,
meh.unadmin.ElectricAssembly,0,Unknown,2,assetgroup,Asset group,Integer,,10,0,FALSE,TRUE,TRUE,FALSE,,,,
meh.unadmin.ElectricAssembly,0,Unknown,3,assettype,Asset type,SmallInteger,,5,0,FALSE,TRUE,TRUE,FALSE,ElectricUN_6_UnknownAssetType,0,Unknown,
meh.unadmin.ElectricAssembly,0,Unknown,4,associationstatus,Association status,SmallInteger,,5,0,FALSE,TRUE,FALSE,TRUE,ElectricUN_6_AssociationStatus,0,None,
meh.unadmin.ElectricAssembly,0,Unknown,5,creationdate,Creation date,Date,,0,0,TRUE,TRUE,FALSE,FALSE,,,,
meh.unadmin.ElectricAssembly,0,Unknown,6,creator,Creator,String,255,0,0,TRUE,TRUE,FALSE,FALSE,,,,
meh.unadmin.ElectricAssembly,0,Unknown,7,lastupdate,Last update,Date,,0,0,TRUE,TRUE,FALSE,FALSE,,,,
meh.unadmin.ElectricAssembly,0,Unknown,8,updatedby,Updated by,String,255,0,0,TRUE,TRUE,FALSE,FALSE,,,,
meh.unadmin.ElectricAssembly,0,Unknown,9,shape,Shape,Geometry,,0,0,FALSE,TRUE,TRUE,FALSE,,,,
meh.unadmin.ElectricAssembly,0,Unknown,10,globalid,Global ID,GlobalID,,0,0,FALSE,TRUE,FALSE,FALSE,,,,
meh.unadmin.ElectricAssembly,0,Unknown,11,subnetworkname,Subnetwork name,String,2000,0,0,FALSE,TRUE,FALSE,FALSE,,Unknown,,
meh.unadmin.ElectricAssembly,0,Unknown,12,assetid,assetid: Asset ID,String,64,0,0,TRUE,FALSE,TRUE,FALSE,,,,
meh.unadmin.ElectricAssembly,0,Unknown,13,configuration,configuration: Load Breaking,SmallInteger,,5,0,TRUE,FALSE,TRUE,FALSE,,,,
meh.unadmin.ElectricAssembly,0,Unknown,14,powerunits,"powerunits: Bank Load, Bank Load in kW, Bank kVA, Bank mVA, Maximum Amps, Maximum Breaking Amps, kVAR",Integer,,10,0,TRUE,FALSE,TRUE,FALSE,,,,
meh.unadmin.ElectricAssembly,0,Unknown,15,configuration1,"configuration1: Gang Operated, High Side to Low Side Phase Shift, Series or Shunt",SmallInteger,,5,0,TRUE,FALSE,TRUE,FALSE,,,,
meh.unadmin.ElectricAssembly,0,Unknown,16,configuration2,"configuration2: High Side to Tertiary Phase Shift, Phase Operable",SmallInteger,,5,0,TRUE,FALSE,TRUE,FALSE,,,,
meh.unadmin.ElectricAssembly,0,Unknown,17,maximumboost,maximumboost: Maximum Voltage Boost,Double,,38,8,TRUE,FALSE,TRUE,FALSE,,,,
